Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Dashboard,17,0,3,9.734379884321243,1.2050420045852661,31.717749952804297,30.0,4.38322593677456,0.0,3,4,18,29,29,32,32,32,32,32,32
GET,Health Check,11,0,2,7.321166721257296,1.344707969110459,28.307458967901766,22.0,2.8362050179129503,0.0,2,3,18,18,19,28,28,28,28,28,28
,Aggregated,28,0,2,8.786331855974693,1.2050420045852661,31.717749952804297,26.857142857142858,7.21943095468751,0.0,3,4,18,19,29,29,32,32,32,32,32
